DECL
001,"France"
003,"Netherlands"
004,"Germany"
005,"Italy"
006,"United Kingdom"
007,"Ireland"
008,"Denmark"
009,"Greece"
010,"Portugal"
011,"Spain"
017,"Belgium"
018,"Luxembourg"
024,"Iceland"
028,"Norway"
030,"Sweden"
032,"Finland"
038,"Austria"
046,"Malta"
052,"Türkiye"
053,"Estonia"
054,"Latvia"
055,"Lithuania"
060,"Poland"
061,"Czechia"
063,"Slovakia"
064,"Hungary"
066,"Romania"
068,"Bulgaria"
070,"Albania"
091,"Slovenia"
092,"Croatia"
093,"Bosnia and Herzegovina"
096,"North Macedonia"
097,"Montenegro"
098,"Serbia"
1110,"EU15TOTALS"
1111,"EU25TOTALS"
1112,"EU27TOTALS_2007"
2027,"EU27TOTALS_2020"
2028,"EUROPEAN UNION (28)"
600,"Cyprus"

PERIOD
201052,"Jan.-Dec. 2010"
201152,"Jan.-Dec. 2011"
201252,"Jan.-Dec. 2012"
201352,"Jan.-Dec. 2013"
201452,"Jan.-Dec. 2014"
201652,"Jan.-Dec. 2016"
201752,"Jan.-Dec. 2017"
201852,"Jan.-Dec. 2018"
201952,"Jan.-Dec. 2019"
202052,"Jan.-Dec. 2020"
202152,"Jan.-Dec. 2021"
202252,"Jan.-Dec. 2022"
200952,"Jan.-Dec. 2009"
200852,"Jan.-Dec. 2008"
200752,"Jan.-Dec. 2007"
200652,"Jan.-Dec. 2006"
200552,"Jan.-Dec. 2005"
200452,"Jan.-Dec. 2004"

PRCCODE
20164062,"Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g"
20164064,"Other polyethylene terephthalate in primary forms"
20161035,"Linear polyethylene having a specific gravity < 0,94, in primary forms"
20161039,"Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)"
20161050,"Polyethylene having a specific gravity of >= 0,94, in primary forms"
20161070,"Ethylene-vinyl acetate copolymers, in primary forms"
20161090,"Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)"
20162035,"Expansible polystyrene, in primary forms"
20162039,"Polystyrene, in primary forms (excluding expansible polystyrene)"
20162050,"Styrene-acrylonitrile (SAN) copolymers, in primary forms"
20162070,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms"
20162090,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)"
20163010,"Polyvinyl chloride, not mixed with any other substances, in primary forms"
20163023,"Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms"
20163025,"Plasticised polyvinyl chloride mixed with any other substance, in primary forms"
20163040,"Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms"
20163090,"Polymers of halogenated olefins, in primary forms, n.e.c."
20165450,"Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms"
20165490,"Polyamides, in primary forms (excluding polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12)"
20165130,"Polypropylene, in primary forms"
20165150,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene)"

INDICATORS
QNTUNIT,"QNTUNIT"
PQNTFLAG,"PQNTFLAG"
PRODQNT,"PRODQNT"
PQNTBASE,"PQNTBASE"
